depth	nb_image	juld	cycle	nb_calanoid	conc_calanoid	PhaseName
971.20001220703125	20	26446.794618055555	1	0	0	PAR
981.70001220703125	20	26446.877939814814	1	6	0.42857142857142855	PAR
987.20001220703125	20	26446.961273148147	1	0	0	PAR
991.4000244140625	20	26447.044606481482	1	0	0	PAR
989.4000244140625	155	26447.084895833334	1	0	0	NPAR
970	105	26447.087858796298	1	0	0	NPAR
950	115	26447.090405092593	1	0	0	NPAR
930	115	26447.09306712963	1	2	0.024844720496894408	NPAR
910.79998779296875	110	26447.095671296298	1	0	0	NPAR
890	100	26447.09810185185	1	0	0	NPAR
870	105	26447.100474537037	1	1	0.013605442176870748	NPAR
849.79998779296875	110	26447.102962962963	1	0	0	NPAR
829.70001220703125	115	26447.10556712963	1	0	0	NPAR
809.9000244140625	120	26447.108287037037	1	1	0.011904761904761904	NPAR
790	95	26447.110775462963	1	0	0	NPAR
769.79998779296875	105	26447.113090277777	1	2	0.027210884353741496	NPAR
749.5999755859375	105	26447.115520833333	1	0	0	NPAR
729.9000244140625	105	26447.11802083333	1	0	0	NPAR
710.0999755859375	115	26447.120613425926	1	0	0	NPAR
690.79998779296875	110	26447.123217592594	1	1	0.012987012987012988	NPAR
670.0999755859375	100	26447.125648148147	1	0	0	NPAR
650.20001220703125	100	26447.127962962964	1	1	0.014285714285714285	NPAR
630.29998779296875	105	26447.130335648148	1	0	0	NPAR
610.0999755859375	110	26447.132824074073	1	1	0.012987012987012988	NPAR
590.20001220703125	115	26447.13542824074	1	0	0	NPAR
570.5	115	26447.13809027778	1	2	0.024844720496894408	NPAR
550.0999755859375	95	26447.140520833334	1	1	0.015037593984962405	NPAR
529.9000244140625	105	26447.14283564815	1	1	0.013605442176870748	NPAR
509.70001220703125	105	26447.145266203705	1	0	0	NPAR
494.70001220703125	188	26447.14715277778	1	2	0.015197568389057751	NPAR
485	204	26447.148402777777	1	2	0.01400560224089636	NPAR
474.8999938964844	210	26447.14972222222	1	2	0.013605442176870748	NPAR
464.8999938964844	210	26447.151076388887	1	1	0.006802721088435374	NPAR
