depth	nb_image	juld	cycle	nb_object	conc_object	PhaseName	wmo	date
972.4000244140625	20	26704.763831018518	1	0	0	PAR	1902593	2023-02-11T18:19:55Z
985.20001220703125	20	26704.847141203703	1	0	0	PAR	1902593	2023-02-11T20:19:53Z
990.4000244140625	20	26704.930486111112	1	0	0	PAR	1902593	2023-02-11T22:19:54Z
991.9000244140625	20	26705.013819444444	1	0	0	PAR	1902593	2023-02-12T00:19:54Z
991	75	26705.026805555557	1	0	0	NPAR	1902593	2023-02-12T00:38:36Z
981.0999755859375	125	26705.029085648148	1	0	0	NPAR	1902593	2023-02-12T00:41:53Z
959.70001220703125	115	26705.03185185185	1	0	0	NPAR	1902593	2023-02-12T00:45:52Z
940	115	26705.034513888888	1	0	0	NPAR	1902593	2023-02-12T00:49:42Z
919.79998779296875	100	26705.037002314813	1	0	0	NPAR	1902593	2023-02-12T00:53:17Z
899.70001220703125	100	26705.03931712963	1	1	0.014285714285714285	NPAR	1902593	2023-02-12T00:56:37Z
879.70001220703125	110	26705.041747685184	1	0	0	NPAR	1902593	2023-02-12T01:00:07Z
859.5999755859375	115	26705.04435185185	1	0	0	NPAR	1902593	2023-02-12T01:03:52Z
840.20001220703125	110	26705.04695601852	1	0	0	NPAR	1902593	2023-02-12T01:07:37Z
819.79998779296875	100	26705.049386574075	1	0	0	NPAR	1902593	2023-02-12T01:11:07Z
800.0999755859375	105	26705.05175925926	1	0	0	NPAR	1902593	2023-02-12T01:14:32Z
780.4000244140625	110	26705.05425925926	1	0	0	NPAR	1902593	2023-02-12T01:18:08Z
760.0999755859375	115	26705.056851851852	1	0	0	NPAR	1902593	2023-02-12T01:21:52Z
739.70001220703125	120	26705.05957175926	1	0	0	NPAR	1902593	2023-02-12T01:25:47Z
719.79998779296875	115	26705.062291666665	1	0	0	NPAR	1902593	2023-02-12T01:29:42Z
700.79998779296875	105	26705.064837962964	1	0	0	NPAR	1902593	2023-02-12T01:33:22Z
679.79998779296875	100	26705.067210648147	1	0	0	NPAR	1902593	2023-02-12T01:36:47Z
659.70001220703125	100	26705.069525462965	1	0	0	NPAR	1902593	2023-02-12T01:40:07Z
