dates	cp	slope	colour	group	diff_jump	park_depth	wmo	cycle
2022-05-23T18:32:02Z	0.2547498813845952	7.032620986852649	jump	group_22	0.14651293722609687	200 m	4903634	3
2022-05-24T03:02:02Z	0.5093196971371733	11.635979736272143	jump	group_23	0.24241624450566968	200 m	4903634	3
2022-05-24T03:32:02Z	0.570604685681889	2.941679450146356	jump	group_24	0.06128498854471576	200 m	4903634	3
2022-05-24T04:02:02Z	0.627439563481142	2.7280741343641437	jump	group_25	0.056834877799253	200 m	4903634	3
2022-05-24T04:32:02Z	0.8758374579351862	11.923098933794117	jump	group_28	0.24839789445404414	200 m	4903634	3
2022-05-24T06:02:02Z	0.9945745977287742	5.331284437835383	jump	last_group	0.11106842578823717	200 m	4903634	3
2022-05-27T21:58:10Z	0.3075733628174336	5.705023762542006	jump	group_10	0.11885466171962514	200 m	4903634	5
2022-05-27T22:28:10Z	0.5226238669512401	10.322424198422711	jump	group_14	0.2150505041338065	200 m	4903634	5
2022-05-28T05:58:10Z	0.568475704881164	4.77586367853412	jump	group_28	0.09949715996946085	200 m	4903634	5
2022-05-28T07:28:10Z	0.6561153707882403	2.4104597402139496	jump	last_group	0.05021791125445729	200 m	4903634	5
2022-05-31T18:14:56Z	0.09658765208024157	0.7717569937061813	jump	group_4	0.016078270702212114	200 m	4903634	7
2022-05-31T18:44:56Z	0.11266592278245369	0.7717569937061813	jump	group_16	0.016078270702212114	200 m	4903634	7
2022-06-01T00:44:56Z	0.25376607322222633	5.553465185323434	jump	group_17	0.1156971913609049	200 m	4903634	7
2022-06-01T01:14:56Z	0.28206497374996803	1.3583472253316013	jump	last_group	0.0282989005277417	200 m	4903634	7
2022-06-06T00:39:20Z	0.11361562798259402	1.2463356468187052	jump	group_8	0.025950900794292256	200 m	4903634	8
2022-06-06T03:39:20Z	0.16395480290640146	1.9293566926669314	jump	group_28	0.04019493109722774	200 m	4903634	8
2022-06-06T13:39:20Z	0.23055296299734837	1.154468416903611	jump	group_29	0.024051425352158567	200 m	4903634	8
2022-06-06T14:09:20Z	0.24917816513282243	0.8940097025027546	jump	group_33	0.018625202135474056	200 m	4903634	8
2022-06-06T16:09:20Z	0.2738178882339749	0.71049791205255	jump	group_37	0.014802039834428127	200 m	4903634	8
2022-06-06T18:09:20Z	0.3072410402982375	0.9070507110573026	jump	last_group	0.018896889813693807	200 m	4903634	8
2022-06-16T02:51:45Z	0.10886935522700976	1.6925729445954512	jump	group_8	0.03526193634573857	200 m	4903634	9
2022-06-16T04:21:45Z	0.1323391339454171	0.9291200551748883	jump	group_30	0.019356667816143508	200 m	4903634	9
2022-06-16T15:21:45Z	0.17165698757118167	0.8615399071167568	jump	last_group	0.017948748064932435	200 m	4903634	9
2022-06-25T18:09:27Z	0.07988143789165356	0.27105886854957645	jump	group_8	0.0056470597614495105	200 m	4903634	10
2022-06-25T19:39:27Z	0.08427911384898815	0.16587474033868174	jump	group_10	0.00345572375705587	200 m	4903634	10
2022-06-25T20:39:27Z	0.08931095663850104	0.21135400781848543	jump	group_17	0.004403208496218447	200 m	4903634	10
2022-06-26T00:09:27Z	0.09844733677726893	0.3176679865888736	jump	group_23	0.006618083053934867	200 m	4903634	10
2022-06-26T03:09:27Z	0.10381286407407452	0.12124082808742086	jump	group_25	0.0025258505851546015	200 m	4903634	10
2022-06-26T04:09:27Z	0.10760463306012193	0.13651985564316924	jump	group_36	0.002844163659232693	200 m	4903634	10
2022-06-26T09:39:27Z	0.11900155410621167	0.2433267652408788	jump	group_43	0.005069307609184975	200 m	4903634	10
2022-06-26T13:09:27Z	0.12375987180917372	0.1522963512865325	jump	group_47	0.0031728406518027608	200 m	4903634	10
2022-07-05T18:40:34Z	0.09466423435151528	0.604059016426621	jump	group_7	0.012584562842221272	200 m	4903634	11
2022-07-05T19:10:34Z	0.09750122568364794	0.13617558394236792	jump	group_23	0.0028369913321326656	200 m	4903634	11
2022-07-06T03:10:34Z	0.11234940448357462	0.15186269873422573	jump	group_24	0.003163806223629703	200 m	4903634	11
2022-07-06T03:40:34Z	0.11551571510564757	0.1519829098595011	jump	group_28	0.0031663106220729403	200 m	4903634	11
2022-07-06T05:40:34Z	0.12217313689209928	0.2130965812533547	jump	group_35	0.00443951210944489	200 m	4903634	11
2022-07-06T09:10:34Z	0.24099853772723365	5.53602013409846	jump	group_38	0.11533375279371794	200 m	4903634	11
2022-07-06T10:40:34Z	0.24688618291483172	0.14135548104644344	jump	group_40	0.002944905855134239	200 m	4903634	11
2022-07-06T11:40:34Z	0.25868753551718604	0.5036068461063662	jump	group_44	0.010491809293882631	200 m	4903634	11
2022-07-16T02:24:59Z	0.15690747186106865	2.594015456544651	jump	group_23	0.054041988678013575	200 m	4903634	12
2022-07-16T07:54:59Z	0.14476397767374963	0.382515965068086	jump	group_37	0.007969082605585126	200 m	4903634	12
2022-07-16T11:54:59Z	0.16876693004570653	0.7995526890599768	jump	last_group	0.01665734768874952	200 m	4903634	12
2022-07-25T21:43:23Z	0.1183675392055342	0.1368875567945582	jump	group_14	0.0028518240998866295	200 m	4903634	13
2022-07-26T00:43:23Z	0.15019203677852774	1.2839789909432646	jump	group_15	0.026749562311318018	200 m	4903634	13
