group	min_time	max_time	nb_points	first_cp	last_cp	delta_x	delta_y	slope	min_drifting_time	max_drifting_time	small_flux	big_flux	park_depth	wmo	cycle
group_5	2022-05-23T17:02:02Z	2022-05-23T18:02:02Z	3	0.08113742345813892	0.10823694415849834	0.041666666666666664	0.006774880175089856	0.16259712420215655	2022-05-23T16:32:02Z	2022-05-24T06:02:02Z	47.91921573156795	303.60638357115647	200 m	4903634	3
group_22	2022-05-23T19:02:02Z	2022-05-24T02:32:02Z	16	0.2547498813845952	0.2669034526315036	0.3125	0.003038392811727103	0.00972285699752673	2022-05-23T16:32:02Z	2022-05-24T06:02:02Z	47.91921573156795	303.60638357115647	200 m	4903634	3
group_28	2022-05-24T05:02:02Z	2022-05-24T05:32:02Z	2	0.8796718149378616	0.883506171940537	0.020833333333333332	9.585892506688565e-4	0.04601228403210511	2022-05-23T16:32:02Z	2022-05-24T06:02:02Z	47.91921573156795	303.60638357115647	200 m	4903634	3
group_9	2022-05-27T18:28:10Z	2022-05-27T21:28:10Z	7	0.1703722597618399	0.18871870109780844	0.125	0.004586610333992137	0.0366928826719371	2022-05-27T17:58:11Z	2022-05-28T07:28:10Z	89.16092181679501	193.77533236207336	200 m	4903634	5
group_28	2022-05-28T06:28:10Z	2022-05-28T06:58:10Z	2	0.5871865822074736	0.605897459533783	0.020833333333333332	0.0046777193315773735	0.22453052791571393	2022-05-27T17:58:11Z	2022-05-28T07:28:10Z	89.16092181679501	193.77533236207336	200 m	4903634	5
group_16	2022-05-31T19:14:56Z	2022-06-01T00:14:56Z	11	0.11678294147455465	0.13806888186132144	0.20833333333333334	0.005321485096691697	0.025543128464120143	2022-05-31T17:14:56Z	2022-06-01T06:44:56Z	30.797590549716087	89.03439433568757	200 m	4903634	7
last_group	2022-06-01T01:44:56Z	2022-06-01T06:44:56Z	11	0.28536857486276135	0.29695271270136997	0.20833333333333334	0.0028960344596521553	0.013900965406330346	2022-05-31T17:14:56Z	2022-06-01T06:44:56Z	30.797590549716087	89.03439433568757	200 m	4903634	7
group_8	2022-06-06T01:09:20Z	2022-06-06T03:09:20Z	5	0.11282426960563291	0.12375987180917372	0.08333333333333333	0.002733900550885203	0.032806806610622435	2022-06-06T00:09:21Z	2022-06-06T23:39:20Z	43.8516084194467	49.3570855438283	200 m	4903634	8
group_28	2022-06-06T04:09:20Z	2022-06-06T13:09:20Z	19	0.16395480290640146	0.2065015376451898	0.375	0.010636683684697085	0.02836448982585889	2022-06-06T00:09:21Z	2022-06-06T23:39:20Z	43.8516084194467	49.3570855438283	200 m	4903634	8
group_33	2022-06-06T14:39:20Z	2022-06-06T15:39:20Z	3	0.2495056983981029	0.2590158483995468	0.041666666666666664	0.002377537500360967	0.05706090000866321	2022-06-06T00:09:21Z	2022-06-06T23:39:20Z	43.8516084194467	49.3570855438283	200 m	4903634	8
group_37	2022-06-06T16:39:20Z	2022-06-06T17:39:20Z	3	0.2830557676286252	0.2883441504845437	0.041666666666666664	0.0013220957139796208	0.0317302971355109	2022-06-06T00:09:21Z	2022-06-06T23:39:20Z	43.8516084194467	49.3570855438283	200 m	4903634	8
last_group	2022-06-06T18:39:20Z	2022-06-06T23:39:20Z	11	0.3075733628174336	0.33107213286143133	0.20833333333333334	0.005874692510999438	0.0281985240527973	2022-06-06T00:09:21Z	2022-06-06T23:39:20Z	43.8516084194467	49.3570855438283	200 m	4903634	8
group_5	2022-06-16T01:21:45Z	2022-06-16T02:21:45Z	3	0.06890835423778326	0.07360741888127119	0.041666666666666664	0.001174766160871983	0.028194387860927594	2022-06-16T00:51:45Z	2022-06-17T00:21:45Z	22.492663345704315	29.351391978554545	200 m	4903634	9
group_8	2022-06-16T03:21:45Z	2022-06-16T03:51:45Z	2	0.10918559825994492	0.1129824661292736	0.020833333333333332	9.492169673321685e-4	0.04556241443194409	2022-06-16T00:51:45Z	2022-06-17T00:21:45Z	22.492663345704315	29.351391978554545	200 m	4903634	9
