group	cycle	wmo	park_depth	mean_date	uvp_points	ost_points	group_total_biovolume	slope	weighted_group_biovolume
group_22	3	4903634	200 m	2022-05-23T22:42:58Z	22	16	134.74141940066423	0.00972285699752673	6.124609972757465
group_28	3	4903634	200 m	2022-05-24T05:12:58Z	1	2	7.334881409900892	0.04601228403210511	7.334881409900892
group_5	3	4903634	200 m	2022-05-23T17:32:58Z	3	3	17.030415630389324	0.16259712420215655	5.676805210129775
group_28	5	4903634	200 m	2022-05-28T06:39:06Z	1	2	8.367931832643908	0.22453052791571393	8.367931832643908
group_9	5	4903634	200 m	2022-05-27T19:59:06Z	9	7	67.24361818907393	0.0366928826719371	7.471513132119325
group_16	7	4903634	200 m	2022-05-31T21:35:52Z	15	11	23.156740738959236	0.025543128464120143	1.5437827159306157
last_group	7	4903634	200 m	2022-06-01T04:15:52Z	15	11	21.01528404619799	0.013900965406330346	1.4010189364131993
group_28	8	4903634	200 m	2022-06-06T08:30:16Z	27	19	21.966450838414936	0.02836448982585889	0.8135722532746272
group_33	8	4903634	200 m	2022-06-06T15:10:16Z	3	3	2.2978944470892277	0.05706090000866321	0.7659648156964093
group_37	8	4903634	200 m	2022-06-06T17:10:16Z	3	3	2.3820112344818556	0.0317302971355109	0.7940037448272852
group_8	8	4903634	200 m	2022-06-06T02:00:16Z	6	5	6.261633537525493	0.032806806610622435	1.0436055895875822
last_group	8	4903634	200 m	2022-06-06T21:10:16Z	15	11	14.30999022560097	0.0281985240527973	0.953999348373398
group_30	9	4903634	200 m	2022-06-16T09:42:41Z	30	21	23.704559152680833	0.01033906664782601	0.7901519717560278
group_5	9	4903634	200 m	2022-06-16T01:52:41Z	3	3	2.1382500456028457	0.028194387860927594	0.7127500152009486
group_8	9	4903634	200 m	2022-06-16T03:32:41Z	1	2	1.0860170917281606	0.04556241443194409	1.0860170917281606
last_group	9	4903634	200 m	2022-06-16T20:02:41Z	26	18	15.286294689747749	0.010230831731862297	0.5879344111441441
group_17	10	4903634	200 m	2022-06-25T22:20:23Z	8	6	4.664674182927612	0.0052886319363746655	0.5830842728659515
group_23	10	4903634	200 m	2022-06-26T01:40:23Z	6	5	3.342110813456277	0.005680025350605272	0.5570184689093794
group_36	10	4903634	200 m	2022-06-26T06:57:03Z	12	10	7.315527042377488	0.006750521693355919	0.6096272535314573
group_43	10	4903634	200 m	2022-06-26T11:20:23Z	8	6	5.5200429180289285	0.0030442365880593678	0.6900053647536161
group_47	10	4903634	200 m	2022-06-26T14:10:23Z	3	3	1.9140722031881778	0.006668065437851006	0.6380240677293926
group_5	10	4903634	200 m	2022-06-25T17:10:23Z	3	3	1.0293284424236717	0.0018809514489047385	0.34310948080789055
group_8	10	4903634	200 m	2022-06-25T18:50:23Z	1	2	0.2154741265737329	0.01130342640334464	0.2154741265737329
group_23	11	4903634	200 m	2022-07-05T23:11:30Z	21	15	9.981725892006649	0.007852210455149935	0.4753202805717452
group_28	11	4903634	200 m	2022-07-06T04:31:30Z	3	3	1.3920785321203484	0.005704099848598487	0.4640261773734495
group_35	11	4903634	200 m	2022-07-06T07:21:30Z	8	6	3.594117608670552	0.006856871050607394	0.449264701083819
group_38	11	4903634	200 m	2022-07-06T09:51:30Z	1	2	0.5492500220940507	0.011773844137362932	0.5492500220940507
group_6	11	4903634	200 m	2022-07-05T17:21:30Z	4	4	1.8712407752248261	0.013815299731922637	0.46781019380620653
group_18	12	4903634	200 m	2022-07-15T22:05:55Z	22	16	13.7775176779903	0.004795899142616944	0.6262508035450136
group_37	12	4903634	200 m	2022-07-16T09:55:55Z	9	7	4.993640117500943	0.01469120936641477	0.5548489019445493
last_group	12	4903634	200 m	2022-07-16T15:05:09Z	13	11	12.079263239657802	0.012150200218653318	0.9291740953582924
group_14	13	4903634	200 m	2022-07-25T23:04:19Z	6	5	6.185361533444814	0.015224805785026593	1.030893588907469
group_38	13	4903634	200 m	2022-07-26T06:54:19Z	31	22	34.42489818975885	0.006038878772202835	1.1104805867664145
group_8	13	4903634	200 m	2022-07-25T19:54:19Z	7	6	8.963162631310077	0.005699855335496928	1.280451804472868
last_group	13	4903634	200 m	2022-07-26T15:24:19Z	14	10	16.909537027209666	0.004923114502431399	1.207824073372119
group_10	14	4903634	200 m	2022-08-04T21:19:45Z	4	4	2.930688644809673	0.012830794592979422	0.7326721612024183
group_14	14	4903634	200 m	2022-08-04T23:29:45Z	3	3	1.8062492423511205	0.005785688484768459	0.6020830807837069
group_27	14	4903634	200 m	2022-08-05T04:09:45Z	15	11	11.309442792190039	0.005039370541616561	0.7539628528126693
group_42	14	4903634	200 m	2022-08-05T10:57:31Z	18	14	12.342894041895331	0.009275280471069949	0.6857163356608518
group_5	14	4903634	200 m	2022-08-04T19:09:45Z	3	3	2.012618834578947	0.005741855763263026	0.670872944859649
last_group	14	4903634	200 m	2022-08-05T16:23:06Z	6	6	4.85214754700154	0.001170906235001512	0.80869125783359
group_18	15	4903634	200 m	2022-08-14T23:39:54Z	16	12	6.4068480727062385	0.004208619227033245	0.4004280045441399
group_33	15	4903634	200 m	2022-08-15T06:39:54Z	20	14	7.823033589722485	0.003566585828932904	0.3911516794861242
group_48	15	4903634	200 m	2022-08-15T14:49:54Z	15	11	5.478471216054401	0.00135508069846213	0.3652314144036267
group_5	15	4903634	200 m	2022-08-14T19:29:54Z	3	3	1.032134242966726	0.0019263956345387245	0.3440447476555753
group_21	16	4903634	200 m	2022-08-25T00:00:52Z	20	15	8.309009939162037	0.008048619184009802	0.4154504969581018
group_5	16	4903634	200 m	2022-08-24T18:50:53Z	3	3	0.9349618830692448	0.0019393155842651333	0.31165396102308157
last_group	16	4903634	200 m	2022-08-25T10:50:52Z	39	27	13.629096500417866	0.00539726218311906	0.34946401283122736
group_35	17	4903634	200 m	2022-09-04T02:41:16Z	47	33	22.439829609838792	0.00941438473667798	0.4774431831880594
last_group	17	4903634	200 m	2022-09-04T14:51:04Z	17	12	9.54304738800363	0.006438695623623133	0.561355728706096
group_10	18	4903634	200 m	2022-09-13T20:27:21Z	10	8	8.014858828449542	0.007301705006010334	0.8014858828449543
group_15	18	4903634	200 m	2022-09-13T23:57:21Z	5	4	3.398284102080289	0.009192760953829593	0.6796568204160578
group_25	18	4903634	200 m	2022-09-14T03:47:21Z	12	9	9.049798876512249	0.007897985508993621	0.7541499063760208
group_39	18	4903634	200 m	2022-09-14T09:47:21Z	18	13	13.441565866275138	0.015531433450356125	0.7467536592375077
last_group	18	4903634	200 m	2022-09-14T15:47:21Z	12	9	9.330436317707846	0.012945591329594164	0.7775363598089872
group_12	19	4903634	200 m	2022-09-23T22:52:30Z	3	3	1.4398916887211233	0.021788471764315864	0.47996389624037444
group_28	19	4903634	200 m	2022-09-24T03:52:30Z	21	15	11.254013884547911	0.017268013307445904	0.53590542307371
group_32	19	4903634	200 m	2022-09-24T08:52:30Z	3	3	1.160972078630792	0.012395627373770868	0.38699069287693066
group_37	19	4903634	200 m	2022-09-24T11:12:30Z	5	4	2.278883695476238	0.012565993926589858	0.4557767390952476
group_8	19	4903634	200 m	2022-09-23T20:12:30Z	7	6	3.1044765704617725	0.006307490371452128	0.44349665292311036
last_group	19	4903634	200 m	2022-09-24T15:32:30Z	15	11	7.174034448287116	0.009482254673762779	0.47826896321914103
group_6	20	4903634	200 m	2022-10-03T20:20:00Z	4	4	1.9090904697761428	0.0026404818939371744	0.4772726174440357
last_group	20	4903634	200 m	2022-10-04T08:20:00Z	62	42	25.367826912657087	0.0091334872283956	0.4091584985912433
group_23	21	4903634	200 m	2022-10-14T02:03:40Z	12	9	12.217778146672103	0.007308161683063252	1.0181481788893418
group_28	21	4903634	200 m	2022-10-14T05:43:40Z	4	4	4.78916014410763	0.0069665160696692485	1.1972900360269074
group_40	21	4903634	200 m	2022-10-14T10:13:40Z	13	10	21.955971879274934	0.0023193448216508226	1.6889209137903796
last_group	22	4903634	200 m	2022-10-24T06:32:45Z	69	47	19.743912116072693	0.006643907679861213	0.286143653856126
group_31	23	4903634	200 m	2022-11-03T02:49:00Z	36	25	9.77873472236159	0.0045092571576449	0.2716315200655997
group_5	23	4903634	200 m	2022-11-02T19:19:00Z	3	3	0.543180327256773	0.007860476611658174	0.181060109085591
last_group	23	4903634	200 m	2022-11-03T13:59:00Z	23	16	6.224929034471632	0.0034285246847203243	0.27064908845528834
group_18	24	4903634	200 m	2022-11-12T23:12:05Z	22	16	4.2135699412336285	0.005474320100105845	0.19152590641971037
last_group	24	4903634	200 m	2022-11-13T11:12:05Z	44	30	11.366990349743302	0.006089926221034406	0.25834068976689323
group_27	25	4903634	200 m	2022-11-23T00:34:31Z	34	25	6.57055799997339	0.006002356778489024	0.1932517058815703
group_35	25	4903634	200 m	2022-11-23T09:11:35Z	8	6	1.6913831488254907	0.007036117420719945	0.21142289360318633
last_group	25	4903634	200 m	2022-11-23T15:01:35Z	15	11	3.2725383675324875	0.005300076124138275	0.21816922450216583
group_21	27	4903634	200 m	2022-12-12T23:42:23Z	27	19	4.568761553716774	0.003203973311860786	0.16921339087839904
group_43	27	4903634	200 m	2022-12-13T10:12:23Z	30	21	4.472333579946534	0.004045107101510964	0.1490777859982178
last_group	27	4903634	200 m	2022-12-13T17:12:23Z	6	5	0.7813871750467275	4.822957279236595e-4	0.13023119584112125
last_group	28	4903634	200 m	2022-12-23T05:35:06Z	69	47	8.002433115526937	0.004137068618547655	0.1159772915293759
group_23	29	4903634	200 m	2023-01-01T23:13:09Z	30	21	3.7896075729415766	0.0024931082189178053	0.1263202524313859
group_37	29	4903634	200 m	2023-01-02T08:13:09Z	18	13	2.5093602790832255	0.005122459480273067	0.13940890439351253
last_group	29	4903634	200 m	2023-01-02T14:43:09Z	15	11	2.0247009570533496	0.0032717523175755155	0.13498006380355665
group_14	3	4903634	500 m	2022-05-24T13:11:11Z	1	5	0.3119020933839912	0.0018788163495400967	0.3119020933839912
group_22	3	4903634	500 m	2022-05-24T17:11:11Z	1	5	0.2881959289681297	0.005835629876718457	0.2881959289681297
last_group	3	4903634	500 m	2022-05-24T21:11:11Z	1	6	0.6428149276870875	0.005074995853850117	0.6428149276870875
group_20	5	4903634	500 m	2022-05-28T17:18:08Z	3	11	2.4061182370776075	0.01275311728032683	0.8020394123592025
group_7	5	4903634	500 m	2022-05-28T13:18:08Z	1	5	1.5706764289479687	0.007503517518205757	1.5706764289479687
last_group	5	4903634	500 m	2022-05-28T23:18:08Z	1	6	1.355316817851448	0.020910207034218996	1.355316817851448
group_24	7	4903634	500 m	2022-06-01T16:09:17Z	5	22	1.3390546082486146	0.0032115263376281877	0.2678109216497229
group_46	7	4903634	500 m	2022-06-02T02:09:17Z	5	21	2.13206582634268	0.004038158597364915	0.426413165268536
last_group	7	4903634	500 m	2022-06-02T11:09:16Z	2	9	1.024289456157205	9.416849824103539e-4	0.5121447280786025
group_102	8	4903634	500 m	2022-06-09T02:30:20Z	2	9	0.5490209765975111	0.01020851306365665	0.2745104882987556
group_141	8	4903634	500 m	2022-06-09T15:30:19Z	9	37	3.63609013678028	0.0031862457309099943	0.4040100151978089
group_20	8	4903634	500 m	2022-06-07T09:30:21Z	3	14	0.6416696983280221	0.006358574505371029	0.21388989944267403
group_54	8	4903634	500 m	2022-06-07T20:30:20Z	8	33	2.751289104626134	0.005420792916264794	0.34391113807826673
group_63	8	4903634	500 m	2022-06-08T08:30:20Z	2	8	0.7648386752317113	0.009187897222607733	0.38241933761585567
group_92	8	4903634	500 m	2022-06-08T21:30:20Z	3	14	0.8991163330252664	0.0077513149178009685	0.29970544434175544
group_105	9	4903634	500 m	2022-06-19T04:41:04Z	2	8	0.42636735637212864	0.002720548739622324	0.21318367818606432
group_61	9	4903634	500 m	2022-06-17T18:41:05Z	14	59	2.726494977947156	0.0026520292728994597	0.1947496412819397
group_69	9	4903634	500 m	2022-06-18T11:41:05Z	1	7	0.1414925781085957	0.003762345264517186	0.1414925781085957
group_83	9	4903634	500 m	2022-06-18T19:41:05Z	1	5	0.2494300562624638	0.007597942477812536	0.2494300562624638
group_96	9	4903634	500 m	2022-06-18T23:41:05Z	3	12	0.9667991499517818	0.0029389140680905934	0.3222663833172606
last_group	9	4903634	500 m	2022-06-19T17:41:04Z	9	40	1.8927710080967886	0.004258137350943244	0.21030788978853207
group_120	10	4903634	500 m	2022-06-29T01:14:02Z	5	21	0.7662129449546824	0.004399985290423208	0.15324258899093648
group_140	10	4903634	500 m	2022-06-29T13:14:02Z	3	12	1.300861355340086	0.005593509964605584	0.43362045178002867
group_26	10	4903634	500 m	2022-06-27T02:14:05Z	4	17	0.7079209781633641	0.0032910205463081883	0.17698024454084102
group_51	10	4903634	500 m	2022-06-27T14:14:04Z	6	24	1.3056712908442138	0.0027849698275381144	0.21761188180736898
group_58	10	4903634	500 m	2022-06-27T21:14:04Z	1	5	0.1598734427298833	0.00662016803644741	0.1598734427298833
group_8	10	4903634	500 m	2022-06-26T21:14:05Z	1	6	0.1290096226743689	0.009757242542785127	0.1290096226743689
group_87	10	4903634	500 m	2022-06-28T07:14:04Z	7	26	1.5648357649531075	0.004720627353233588	0.2235479664218725
group_97	10	4903634	500 m	2022-06-28T16:14:04Z	2	9	0.4285432836383364	0.0033390309722100137	0.2142716418191682
last_group	10	4903634	500 m	2022-06-29T17:14:02Z	1	5	0.6769999030691625	0.0062581584338284035	0.6769999030691625
group_142	11	4903634	500 m	2022-07-09T05:10:03Z	11	46	2.9584603568610226	0.00601348194448296	0.26895094153282023
group_16	11	4903634	500 m	2022-07-06T23:10:06Z	3	14	0.4903281852814137	0.0028988834748926956	0.1634427284271379
group_30	11	4903634	500 m	2022-07-07T05:10:06Z	3	13	0.7936983511382449	0.0075614389246751595	0.26456611704608163
group_56	11	4903634	500 m	2022-07-07T16:10:05Z	6	25	1.648208160976202	0.004590350052174466	0.27470136016270036
group_69	11	4903634	500 m	2022-07-08T01:10:05Z	3	12	0.5571520771047437	0.006249639399398387	0.18571735903491457
group_94	11	4903634	500 m	2022-07-08T13:10:05Z	3	14	0.7510387109859673	0.009207384287917222	0.25034623699532244
