lat	lon	start_date	key	source	year
50	145	2018-08-27	THORIUM_707	Thorium	2018
60.58	-34.58	2010-05-02	THORIUM_740	Thorium	2010
60.01	-34.57	2010-05-03	THORIUM_737	Thorium	2010
60	-31.58	2010-05-04	THORIUM_736	Thorium	2010
59.59	-28.58	2010-05-05	THORIUM_728	Thorium	2010
59.56	-26.07	2010-05-06	THORIUM_726	Thorium	2010
60.5	-21.45	2010-05-07	THORIUM_739	Thorium	2010
61.59	-19.59	2010-05-08	THORIUM_744	Thorium	2010
61.47	-21.04	2010-07-14	THORIUM_743	Thorium	2010
59.59	-23.37	2010-07-16	THORIUM_729	Thorium	2010
60	-34.59	2010-07-18	THORIUM_735	Thorium	2010
59.54	-41.25	2010-07-20	THORIUM_725	Thorium	2010
59.59	-34.59	2010-07-22	THORIUM_727	Thorium	2010
62.59	-35	2010-07-23	THORIUM_746	Thorium	2010
62.59	-29.49	2010-07-25	THORIUM_747	Thorium	2010
58.13	-35.07	2010-07-27	THORIUM_717	Thorium	2010
63.49	-35.05	2010-07-31	THORIUM_748	Thorium	2010
63.49	-34.59	2010-08-02	THORIUM_749	Thorium	2010
62.02	-24.2	2010-08-04	THORIUM_745	Thorium	2010
61.13	-20.46	2010-08-05	THORIUM_741	Thorium	2010
61.19	-20.57	2010-08-08	THORIUM_742	Thorium	2010
74.1	-4.1	2012-06-12	THORIUM_767	Thorium	2012
76.1	-2.3	2012-06-13	THORIUM_772	Thorium	2012
78.4	0	2012-06-14	THORIUM_789	Thorium	2012
77.5	1.1	2012-06-16	THORIUM_784	Thorium	2012
71.7	17.9	2012-06-19	THORIUM_758	Thorium	2012
71.4	8.3	2012-06-22	THORIUM_757	Thorium	2012
68.4	-10.3	2012-06-25	THORIUM_753	Thorium	2012
67.5	-16.2	2012-06-26	THORIUM_752	Thorium	2012
71.4	-1.2	2012-06-27	THORIUM_756	Thorium	2012
71.4	-10.3	2012-06-28	THORIUM_755	Thorium	2012
68.4	-10.3	2012-06-29	THORIUM_754	Thorium	2012
67.5	-16.3	2012-06-30	THORIUM_751	Thorium	2012
67.1	-24	2012-07-01	THORIUM_750	Thorium	2012
-59.9	-53.1	2013-01-14	THORIUM_92	Thorium	2013
-59.88	-49.4	2013-01-16	THORIUM_93	Thorium	2013
-59.93	-45.28	2013-01-18	THORIUM_91	Thorium	2013
-59.2	-43.75	2013-01-20	THORIUM_98	Thorium	2013
-57.81	-42.81	2013-01-21	THORIUM_102	Thorium	2013
-56.8	-42.25	2013-01-21	THORIUM_115	Thorium	2013
-55.2	-41.3	2013-01-22	THORIUM_123	Thorium	2013
-54.21	-40.8	2013-01-22	THORIUM_133	Thorium	2013
-52.7	-40.5	2013-01-23	THORIUM_145	Thorium	2013
-51.61	-39.56	2013-01-23	THORIUM_152	Thorium	2013
-51.15	-37.48	2013-01-25	THORIUM_157	Thorium	2013
-51.6	-34.7	2013-01-29	THORIUM_153	Thorium	2013
-53.81	-29.18	2013-01-31	THORIUM_135	Thorium	2013
-58.8	-25.91	2013-02-02	THORIUM_101	Thorium	2013
-63.45	-25.28	2013-02-04	THORIUM_62	Thorium	2013
-60	-29.48	2013-02-06	THORIUM_89	Thorium	2013
-50.3	66.7	2011-10-26	THORIUM_167	Thorium	2011
-50.6	72.1	2011-10-21	THORIUM_161	Thorium	2011
-50.6	72.1	2011-11-17	THORIUM_162	Thorium	2011
-48.5	74.7	2011-11-07	THORIUM_187	Thorium	2011
-48.5	72.2	2011-10-31	THORIUM_186	Thorium	2011
-48.7	72	2011-11-04	THORIUM_184	Thorium	2011
-48.7	72.6	2011-11-14	THORIUM_185	Thorium	2011
-48.4	71.9	2011-11-19	THORIUM_188	Thorium	2011
-48.7	71.4	2011-11-12	THORIUM_183	Thorium	2011
-51.8	-56.1	2011-01-15	THORIUM_151	Thorium	2011
-46.26	-59.83	2011-01-18	THORIUM_203	Thorium	2011
-45.67	-48.95	2011-01-21	THORIUM_218	Thorium	2011
-40.95	-46	2011-01-23	THORIUM_275	Thorium	2011
-36.52	-43.38	2011-01-25	THORIUM_282	Thorium	2011
-42.21	-41.21	2011-01-27	THORIUM_271	Thorium	2011
-51.36	-37.85	2011-01-30	THORIUM_156	Thorium	2011
-59.25	-33.15	2011-02-02	THORIUM_97	Thorium	2011
-57.28	-25.98	2011-02-04	THORIUM_105	Thorium	2011
-53.65	-17.75	2011-02-06	THORIUM_136	Thorium	2011
-50.4	-10.8	2011-02-08	THORIUM_165	Thorium	2011
-46.31	-3.21	2011-02-10	THORIUM_200	Thorium	2011
-42.63	3.34	2011-02-12	THORIUM_267	Thorium	2011
-38.97	9.49	2011-02-14	THORIUM_279	Thorium	2011
-36.94	39.6	2012-02-22	THORIUM_281	Thorium	2012
-45.82	51.05	2012-02-27	THORIUM_217	Thorium	2012
-46.84	58.25	2012-02-29	THORIUM_198	Thorium	2012
-47.53	64.01	2012-03-01	THORIUM_194	Thorium	2012
-49.3	71.32	2012-03-03	THORIUM_173	Thorium	2012
-54.4	74.54	2012-03-05	THORIUM_128	Thorium	2012
-59.71	77.73	2012-03-07	THORIUM_94	Thorium	2012
-54.23	88.22	2012-03-10	THORIUM_132	Thorium	2012
-49.81	94.13	2012-03-11	THORIUM_171	Thorium	2012
