mids	mean_DIC	nb_points
10	2031.7678437994532	27804
30	2052.9118403275334	14655
50	2067.5317522447026	16706
70	2085.349835206928	12009
90	2109.806806745843	10525
125	2115.135598550433	24835
175	2144.0901152725537	18877
225	2152.142772834672	14813
275	2163.5881492831036	14228
325	2170.522062186056	9954
375	2183.2143873712494	11165
425	2184.5520688216893	7672
475	2196.306439041941	9728
550	2203.148552986125	14919
650	2214.752254392075	12921
750	2231.011269752822	13998
850	2237.988109269028	11943
1075	2252.8248083618682	34753
1375	2258.2714900937926	18978
1625	2260.5267570014876	15461
1875	2262.0570716492743	17153
2125	2264.5274003396135	12367
2375	2257.589350426656	12305
2625	2259.93568484565	10690
2875	2261.6635809065383	12465
3125	2258.7067356939615	9489
3375	2260.629152182952	9620
3625	2263.7878195273333	8378
3875	2266.754458398744	7644
4125	2268.538939575232	6686
4375	2266.9030119482245	6026
