instrument_type	lat	lon	depth	start_date	end_date	days	poc	doi	key
thorium234	50	145	50	2018-08-27	2018-08-27	0	5.48	Buesseler,K. O., et al. (2020) - Elementa: Science of the Anthropocene, 8(1).	THORIUM_714
thorium234	50	145	65	2018-08-27	2018-08-27	0	4.86	Buesseler,K. O., et al. (2020) - Elementa: Science of the Anthropocene, 8(1).	THORIUM_714
thorium234	50	145	80	2018-08-27	2018-08-27	0	3.77	Buesseler,K. O., et al. (2020) - Elementa: Science of the Anthropocene, 8(1).	THORIUM_714
thorium234	50	145	100	2018-08-27	2018-08-27	0	2.01	Buesseler,K. O., et al. (2020) - Elementa: Science of the Anthropocene, 8(1).	THORIUM_714
thorium234	50	145	120	2018-08-27	2018-08-27	0	1.74	Buesseler,K. O., et al. (2020) - Elementa: Science of the Anthropocene, 8(1).	THORIUM_714
thorium234	50	145	150	2018-08-27	2018-08-27	0	1.3	Buesseler,K. O., et al. (2020) - Elementa: Science of the Anthropocene, 8(1).	THORIUM_714
thorium234	50	145	200	2018-08-27	2018-08-27	0	1.06	Buesseler,K. O., et al. (2020) - Elementa: Science of the Anthropocene, 8(1).	THORIUM_714
thorium234	50	145	280	2018-08-27	2018-08-27	0	1.11	Buesseler,K. O., et al. (2020) - Elementa: Science of the Anthropocene, 8(1).	THORIUM_714
thorium234	50	145	330	2018-08-27	2018-08-27	0	1.28	Buesseler,K. O., et al. (2020) - Elementa: Science of the Anthropocene, 8(1).	THORIUM_714
thorium234	50	145	500	2018-08-27	2018-08-27	0	1.16	Buesseler,K. O., et al. (2020) - Elementa: Science of the Anthropocene, 8(1).	THORIUM_714
thorium234	60.58	-34.58	150	2010-05-02	NA	0	354.4	https://doi.org/10.1029/2018GB006158	THORIUM_747
thorium234	60.01	-34.57	150	2010-05-03	NA	0	457.17	https://doi.org/10.1029/2018GB006158	THORIUM_744
thorium234	60	-31.58	150	2010-05-04	NA	0	109.45	https://doi.org/10.1029/2018GB006158	THORIUM_743
thorium234	59.59	-28.58	150	2010-05-05	NA	0	206.98	https://doi.org/10.1029/2018GB006158	THORIUM_735
thorium234	59.56	-26.07	150	2010-05-06	NA	0	166.39	https://doi.org/10.1029/2018GB006158	THORIUM_733
thorium234	60.5	-21.45	150	2010-05-07	NA	0	270.26	https://doi.org/10.1029/2018GB006158	THORIUM_746
thorium234	61.59	-19.59	150	2010-05-08	NA	0	386.8	https://doi.org/10.1029/2018GB006158	THORIUM_751
thorium234	61.47	-21.04	150	2010-07-14	NA	0	129.75	https://doi.org/10.1029/2018GB006158	THORIUM_750
thorium234	59.59	-23.37	150	2010-07-16	NA	0	161.18	https://doi.org/10.1029/2018GB006158	THORIUM_736
thorium234	60	-34.59	150	2010-07-18	NA	0	260.78	https://doi.org/10.1029/2018GB006158	THORIUM_742
thorium234	59.54	-41.25	150	2010-07-20	NA	0	144.67	https://doi.org/10.1029/2018GB006158	THORIUM_732
thorium234	59.59	-34.59	150	2010-07-22	NA	0	359.03	https://doi.org/10.1029/2018GB006158	THORIUM_734
thorium234	62.59	-35	150	2010-07-23	NA	0	113.01	https://doi.org/10.1029/2018GB006158	THORIUM_753
thorium234	62.59	-29.49	150	2010-07-25	NA	0	228.62	https://doi.org/10.1029/2018GB006158	THORIUM_754
thorium234	58.13	-35.07	150	2010-07-27	NA	0	135.8	https://doi.org/10.1029/2018GB006158	THORIUM_724
thorium234	63.49	-35.05	150	2010-07-31	NA	0	148.45	https://doi.org/10.1029/2018GB006158	THORIUM_755
thorium234	63.49	-34.59	150	2010-08-02	NA	0	346.05	https://doi.org/10.1029/2018GB006158	THORIUM_756
thorium234	62.02	-24.2	150	2010-08-04	NA	0	182.59	https://doi.org/10.1029/2018GB006158	THORIUM_752
thorium234	61.13	-20.46	150	2010-08-05	NA	0	103.81	https://doi.org/10.1029/2018GB006158	THORIUM_748
thorium234	61.19	-20.57	150	2010-08-08	NA	0	97.85	https://doi.org/10.1029/2018GB006158	THORIUM_749
thorium234	74.1	-4.1	100	2012-06-12	NA	0	74.4	https://doi.org/10.1029/2018GB006158	THORIUM_774
thorium234	76.1	-2.3	100	2012-06-13	NA	0	40.8	https://doi.org/10.1029/2018GB006158	THORIUM_780
thorium234	78.4	0	100	2012-06-14	NA	0	939.6	https://doi.org/10.1029/2018GB006158	THORIUM_798
thorium234	77.5	1.1	100	2012-06-16	NA	0	21.6	https://doi.org/10.1029/2018GB006158	THORIUM_792
thorium234	71.7	17.9	100	2012-06-19	NA	0	106.8	https://doi.org/10.1029/2018GB006158	THORIUM_765
thorium234	71.4	8.3	100	2012-06-22	NA	0	175.2	https://doi.org/10.1029/2018GB006158	THORIUM_764
thorium234	68.4	-10.3	100	2012-06-25	NA	0	68.4	https://doi.org/10.1029/2018GB006158	THORIUM_760
thorium234	67.5	-16.2	100	2012-06-26	NA	0	69.6	https://doi.org/10.1029/2018GB006158	THORIUM_759
thorium234	71.4	-1.2	100	2012-06-27	NA	0	81.6	https://doi.org/10.1029/2018GB006158	THORIUM_763
thorium234	71.4	-10.3	100	2012-06-28	NA	0	76.8	https://doi.org/10.1029/2018GB006158	THORIUM_762
thorium234	68.4	-10.3	100	2012-06-29	NA	0	153.6	https://doi.org/10.1029/2018GB006158	THORIUM_761
thorium234	67.5	-16.3	100	2012-06-30	NA	0	208.8	https://doi.org/10.1029/2018GB006158	THORIUM_758
thorium234	67.1	-24	100	2012-07-01	NA	0	226.8	https://doi.org/10.1029/2018GB006158	THORIUM_757
thorium234	-59.9	-53.1	100	2013-01-14	NA	0	103.2	https://doi.org/10.1029/2018GB006158	THORIUM_97
thorium234	-59.88	-49.4	100	2013-01-16	NA	0	64.8	https://doi.org/10.1029/2018GB006158	THORIUM_98
thorium234	-59.93	-45.28	100	2013-01-18	NA	0	385.2	https://doi.org/10.1029/2018GB006158	THORIUM_96
thorium234	-59.2	-43.75	100	2013-01-20	NA	0	500.4	https://doi.org/10.1029/2018GB006158	THORIUM_103
thorium234	-57.81	-42.81	100	2013-01-21	NA	0	238.8	https://doi.org/10.1029/2018GB006158	THORIUM_107
thorium234	-56.8	-42.25	100	2013-01-21	NA	0	134.4	https://doi.org/10.1029/2018GB006158	THORIUM_121
thorium234	-55.2	-41.3	100	2013-01-22	NA	0	39.6	https://doi.org/10.1029/2018GB006158	THORIUM_129
thorium234	-54.21	-40.8	100	2013-01-22	NA	0	38.4	https://doi.org/10.1029/2018GB006158	THORIUM_139
thorium234	-52.7	-40.5	100	2013-01-23	NA	0	258	https://doi.org/10.1029/2018GB006158	THORIUM_151
thorium234	-51.61	-39.56	100	2013-01-23	NA	0	267.6	https://doi.org/10.1029/2018GB006158	THORIUM_158
thorium234	-51.15	-37.48	100	2013-01-25	NA	0	376.8	https://doi.org/10.1029/2018GB006158	THORIUM_163
thorium234	-51.6	-34.7	100	2013-01-29	NA	0	187.2	https://doi.org/10.1029/2018GB006158	THORIUM_159
thorium234	-53.81	-29.18	100	2013-01-31	NA	0	318	https://doi.org/10.1029/2018GB006158	THORIUM_141
thorium234	-58.8	-25.91	100	2013-02-02	NA	0	127.2	https://doi.org/10.1029/2018GB006158	THORIUM_106
thorium234	-63.45	-25.28	100	2013-02-04	NA	0	102	https://doi.org/10.1029/2018GB006158	THORIUM_65
thorium234	-60	-29.48	100	2013-02-06	NA	0	388.8	https://doi.org/10.1029/2018GB006158	THORIUM_94
thorium234	-50.3	66.7	100	2011-10-26	NA	0	45.6	https://doi.org/10.1029/2018GB006158	THORIUM_173
thorium234	-50.6	72.1	100	2011-10-21	NA	0	42	https://doi.org/10.1029/2018GB006158	THORIUM_167
thorium234	-50.6	72.1	100	2011-11-17	NA	0	55.2	https://doi.org/10.1029/2018GB006158	THORIUM_168
thorium234	-48.5	74.7	100	2011-11-07	NA	0	49.2	https://doi.org/10.1029/2018GB006158	THORIUM_193
thorium234	-48.5	72.2	100	2011-10-31	NA	0	139.2	https://doi.org/10.1029/2018GB006158	THORIUM_192
thorium234	-48.7	72	100	2011-11-04	NA	0	141.6	https://doi.org/10.1029/2018GB006158	THORIUM_190
thorium234	-48.7	72.6	100	2011-11-14	NA	0	64.8	https://doi.org/10.1029/2018GB006158	THORIUM_191
thorium234	-48.4	71.9	100	2011-11-19	NA	0	92.4	https://doi.org/10.1029/2018GB006158	THORIUM_194
thorium234	-48.7	71.4	100	2011-11-12	NA	0	44.4	https://doi.org/10.1029/2018GB006158	THORIUM_189
thorium234	-51.8	-56.1	79	2011-01-15	NA	0	68.4	https://doi.org/10.1029/2018GB006158	THORIUM_157
thorium234	-46.26	-59.83	62	2011-01-18	NA	0	70.8	https://doi.org/10.1029/2018GB006158	THORIUM_209
thorium234	-45.67	-48.95	62	2011-01-21	NA	0	19.2	https://doi.org/10.1029/2018GB006158	THORIUM_224
thorium234	-40.95	-46	69	2011-01-23	NA	0	27.6	https://doi.org/10.1029/2018GB006158	THORIUM_281
thorium234	-36.52	-43.38	121	2011-01-25	NA	0	26.4	https://doi.org/10.1029/2018GB006158	THORIUM_288
thorium234	-42.21	-41.21	63	2011-01-27	NA	0	105.6	https://doi.org/10.1029/2018GB006158	THORIUM_277
thorium234	-51.36	-37.85	60	2011-01-30	NA	0	87.6	https://doi.org/10.1029/2018GB006158	THORIUM_162
thorium234	-59.25	-33.15	100	2011-02-02	NA	0	66	https://doi.org/10.1029/2018GB006158	THORIUM_102
thorium234	-57.28	-25.98	98	2011-02-04	NA	0	108	https://doi.org/10.1029/2018GB006158	THORIUM_110
thorium234	-53.65	-17.75	73	2011-02-06	NA	0	240	https://doi.org/10.1029/2018GB006158	THORIUM_142
thorium234	-50.4	-10.8	59	2011-02-08	NA	0	96	https://doi.org/10.1029/2018GB006158	THORIUM_171
thorium234	-46.31	-3.21	81	2011-02-10	NA	0	43.2	https://doi.org/10.1029/2018GB006158	THORIUM_206
thorium234	-42.63	3.34	76	2011-02-12	NA	0	25.2	https://doi.org/10.1029/2018GB006158	THORIUM_273
thorium234	-38.97	9.49	62	2011-02-14	NA	0	20.4	https://doi.org/10.1029/2018GB006158	THORIUM_285
thorium234	-36.94	39.6	78	2012-02-22	NA	0	36	https://doi.org/10.1029/2018GB006158	THORIUM_287
thorium234	-45.82	51.05	105	2012-02-27	NA	0	42	https://doi.org/10.1029/2018GB006158	THORIUM_223
thorium234	-46.84	58.25	90	2012-02-29	NA	0	24	https://doi.org/10.1029/2018GB006158	THORIUM_204
thorium234	-47.53	64.01	108	2012-03-01	NA	0	60	https://doi.org/10.1029/2018GB006158	THORIUM_200
thorium234	-49.3	71.32	81	2012-03-03	NA	0	49.2	https://doi.org/10.1029/2018GB006158	THORIUM_179
thorium234	-54.4	74.54	109	2012-03-05	NA	0	82.8	https://doi.org/10.1029/2018GB006158	THORIUM_134
thorium234	-59.71	77.73	93	2012-03-07	NA	0	38.4	https://doi.org/10.1029/2018GB006158	THORIUM_99
thorium234	-54.23	88.22	107	2012-03-10	NA	0	38.4	https://doi.org/10.1029/2018GB006158	THORIUM_138
