instrument_type	lat	lon	depth	start_date	end_date	poc	trap_type	doi	days	key
sediment_trap	58	179	3137	1991-07-18	1992-06-12	5.53	moored	10.1594/PANGAEA.855600	329.875	SED_TRAP_6577
sediment_trap	58	179	3137	1991-07-18	1991-08-04	7.32	moored	10.1594/PANGAEA.855600	17.42	SED_TRAP_6576
sediment_trap	58	179	3137	1991-08-22	1991-09-08	2.64	moored	10.1594/PANGAEA.855600	17.253333333333334	SED_TRAP_6578
sediment_trap	58	179	3137	1991-09-08	1991-09-26	2.6	moored	10.1594/PANGAEA.855600	18.17	SED_TRAP_6579
sediment_trap	58	179	3137	1991-09-26	1991-10-13	7.62	moored	10.1594/PANGAEA.855600	17.086666666666666	SED_TRAP_6580
sediment_trap	58	179	3137	1991-10-13	1991-10-31	5.6	moored	10.1594/PANGAEA.855600	18.503333333333334	SED_TRAP_6581
sediment_trap	58	179	3137	1991-10-31	1991-11-17	4.41	moored	10.1594/PANGAEA.855600	17.42	SED_TRAP_6582
sediment_trap	58	179	3137	1991-11-17	1991-12-04	3.74	moored	10.1594/PANGAEA.855600	17.336666666666666	SED_TRAP_6583
sediment_trap	58	179	3137	1991-12-04	1991-12-22	2.63	moored	10.1594/PANGAEA.855600	18.253333333333334	SED_TRAP_6584
sediment_trap	58	179	3137	1991-12-22	1992-01-08	2.03	moored	10.1594/PANGAEA.855600	17.17	SED_TRAP_6585
sediment_trap	58	179	3137	1992-01-08	1992-01-26	2.23	moored	10.1594/PANGAEA.855600	18.086666666666666	SED_TRAP_6586
sediment_trap	58	179	3137	1992-01-26	1992-02-12	2.61	moored	10.1594/PANGAEA.855600	17.503333333333334	SED_TRAP_6587
sediment_trap	58	179	3137	1992-02-12	1992-02-29	1.52	moored	10.1594/PANGAEA.855600	17.42	SED_TRAP_6588
sediment_trap	58	179	3137	1992-02-29	1992-03-18	3.85	moored	10.1594/PANGAEA.855600	18.336666666666666	SED_TRAP_6589
sediment_trap	58	179	3137	1992-03-18	1992-04-04	3.51	moored	10.1594/PANGAEA.855600	17.253333333333334	SED_TRAP_6590
sediment_trap	58	179	3137	1992-04-04	1992-04-22	5.7	moored	10.1594/PANGAEA.855600	18.17	SED_TRAP_6591
sediment_trap	58	179	3137	1992-04-22	1992-05-09	2.42	moored	10.1594/PANGAEA.855600	17.086666666666666	SED_TRAP_6592
sediment_trap	58	179	3137	1992-05-09	1992-05-27	7.22	moored	10.1594/PANGAEA.855600	18.503333333333334	SED_TRAP_6593
sediment_trap	58	179	3137	1992-05-27	1992-06-13	37.1	moored	10.1594/PANGAEA.855600	17.42	SED_TRAP_6594
sediment_trap	58	179	3137	1992-06-13	1992-06-30	0.15	moored	10.1594/PANGAEA.855600	17.336666666666666	SED_TRAP_6595
sediment_trap	53.5	-177	3188	1990-08-07	1990-08-23	3.9	moored	10.1594/PANGAEA.855600	16.5	SED_TRAP_6416
sediment_trap	53.5	-177	3198	1990-08-07	1995-07-25	6.9576	moored	10.1594/PANGAEA.855600	1814.3125	SED_TRAP_6417
sediment_trap	53.5	-177	3188	1990-08-23	1990-09-12	3.8	moored	10.1594/PANGAEA.855600	20.5	SED_TRAP_6418
sediment_trap	53.5	-177	3188	1990-09-12	1990-10-02	6.6	moored	10.1594/PANGAEA.855600	20.5	SED_TRAP_6419
sediment_trap	53.5	-177	3188	1990-10-02	1990-11-27	9.9	moored	10.1594/PANGAEA.855600	55.9375	SED_TRAP_6420
sediment_trap	53.5	-177	3188	1990-11-27	1991-01-22	2.5	moored	10.1594/PANGAEA.855600	56.9375	SED_TRAP_6421
sediment_trap	53.5	-177	3188	1991-01-22	1991-03-19	1.6	moored	10.1594/PANGAEA.855600	55.9375	SED_TRAP_6422
sediment_trap	53.5	-177	3188	1991-03-19	1991-04-08	2.4	moored	10.1594/PANGAEA.855600	20.5	SED_TRAP_6423
sediment_trap	53.5	-177	3188	1991-04-08	1991-04-28	1.9	moored	10.1594/PANGAEA.855600	20.5	SED_TRAP_6424
sediment_trap	53.5	-177	3188	1991-04-28	1991-05-18	2.8	moored	10.1594/PANGAEA.855600	20.5	SED_TRAP_6425
