,accuracy,precision_macro,recall_macro,living_precision_w,living_recall_w,learning_rate,max_depth,loading_time,folder_name,n_class,n_trees,n_nodes,weight
0,0.919345006265452,0.8245835161649537,0.5943725420436847,0.7937340475282383,0.6993091537132988,0.2,7,198.161002,2_7_0_1000,20,141,307094,0
0,0.9212923764689945,0.8496656414707416,0.6047040151904369,0.7990903738109645,0.7065630397236615,0.1,6,411.860446,1_6_0_1000,20,446,608902,0
0,0.9218173197412538,0.8521108704091132,0.60490014421137,0.8024091887816478,0.7099309153713299,0.05,5,840.8202679999999,0.05_5_0_2500,20,1392,1150636,0
0,0.80280759982389,0.43929262503400357,0.7240616194326699,0.5525742219319107,0.8082901554404145,0.3,7,40.965714,3_7_75_1000,20,22,64858,75
0,0.8829884512480103,0.5936542487542936,0.7199767986899962,0.6440001182832751,0.7917962003454232,0.2,5,61.227602,2_5_50_1000,20,88,86354,50
0,0.9101500321739425,0.7270955379554725,0.623035672598063,0.725831853151179,0.7461139896373057,0.3,7,88.28131599999999,3_7_25_1000,20,55,138312,25
0,0.7959664036305754,0.3994297209014988,0.7563876201001826,0.541298067497036,0.81139896373057,0.2,5,36.412772,2_5_75_1000,20,50,51804,75
0,0.9067633013851729,0.74497545189976,0.6461239859794332,0.718428246136066,0.7668393782383419,0.3,4,76.000774,3_4_25_1000,20,177,94178,25
0,0.7970840247908694,0.41162782322099495,0.7401736275627867,0.5420440947951918,0.8065630397236615,0.3,6,31.070932000000003,3_6_75_1000,20,26,47404,75
0,0.9182104514512142,0.8150305078032506,0.5949722109832531,0.7838821614283858,0.7010362694300518,0.3,6,114.537248,3_6_0_1000,20,121,169916,0
0,0.8050089748365903,0.42178628122791323,0.7565324451522872,0.5497908486927126,0.813385146804836,0.2,6,46.995414,2_6_75_1000,20,41,71378,75
0,0.7883462593558438,0.3776360225641958,0.7686943324227732,0.5379266075353745,0.8097582037996546,0.1,4,60.262382,1_4_75_1000,20,134,75894,75
0,0.921004504351949,0.850920849965771,0.6003306481798474,0.7994666154570967,0.7056131260794474,0.1,5,376.469696,1_5_0_1000,20,615,516772,0
0,0.8777220848714735,0.5673418089038172,0.711218210156101,0.6348325083474291,0.7857512953367876,0.3,5,37.458836,3_5_50_1000,20,53,52992,50
0,0.9096589562095709,0.7514757132074705,0.6597141508428326,0.7202926966469919,0.766580310880829,0.2,3,155.187948,2_3_25_1000,20,555,155136,25
0,0.9214617130084329,0.8421240426770567,0.605242999692188,0.8045826182352018,0.7009499136442142,0.1,7,404.71535800000004,1_7_0_1000,20,290,626806,0
0,0.8845632810647882,0.6155319009059224,0.7012250325449025,0.6471760014008147,0.7919689119170984,0.2,7,85.758678,2_7_50_1000,20,51,134826,50
0,0.90798252446913,0.7202145146096287,0.6656158361761529,0.7111239217564118,0.7679620034542314,0.3,3,92.38597200000001,3_3_25_1000,20,329,92624,25
0,0.8802451993091069,0.5840238843184091,0.7344653516282965,0.6365036743803656,0.7946459412780656,0.1,3,130.48675,1_3_50_1000,20,461,131530,50
0,0.7537338706946185,0.35623043897108514,0.7678933331984812,0.5299922255043664,0.8006044905008636,0.2,3,30.245792,2_3_75_1000,20,105,30844,75
0,0.9162969485555593,0.7739288435098094,0.6543559301380396,0.7459935090135804,0.7531951640759931,0.05,7,560.54417,0.05_7_25_2500,20,358,876530,25
0,0.9115555254512818,0.7372910891172142,0.655311552597021,0.7253353696072391,0.7570811744386874,0.2,5,117.46333,2_5_25_1000,20,176,164290,25
0,0.9213262437768822,0.8445358591077193,0.5960500281584121,0.802157754799324,0.7028497409326425,0.05,6,821.949004,0.05_6_0_2500,20,891,1215008,0
0,0.7841467131777695,0.3693290339612765,0.7792152112362158,0.5326218635885142,0.805440414507772,0.1,3,61.64321,1_3_75_1000,20,215,62670,75
0,0.9206150303112406,0.8287753861100414,0.5954992406434206,0.8041685581696337,0.694041450777202,0.2,4,205.338968,2_4_0_1000,20,511,248156,0
0,0.921901988010973,0.8415729594175024,0.6001580128126218,0.8046202143979905,0.7049222797927461,0.05,7,855.07881,0.05_7_0_2500,20,615,1323870,0
0,0.8834456599044942,0.6091754347738468,0.7225217932739949,0.6432699126676784,0.7961139896373057,0.1,5,113.466466,1_5_50_1000,20,165,159662,50
0,0.9132658244996106,0.7692470261697015,0.6468469124801776,0.7334419049167595,0.7566493955094992,0.2,6,124.768866,2_6_25_1000,20,120,187362,25
0,0.9190910014562942,0.8463973226554795,0.5950072263801677,0.8004558584027921,0.6906735751295336,0.2,6,185.86359599999997,2_6_0_1000,20,198,275412,0
0,0.9196159447285536,0.8347004470842444,0.6215321672889534,0.7969036512090846,0.6959412780656304,0.1,3,277.087994,1_3_0_1000,20,1000,275258,0
0,0.9136722321942629,0.7743066420792046,0.6495899969398545,0.7398421282384392,0.7515544041450777,0.2,7,132.25475,2_7_25_1000,20,83,207090,25
0,0.7788126121854574,0.35841737541762314,0.753643541714954,0.530675535757527,0.8021588946459413,0.3,4,19.723352,3_4_75_1000,20,43,25004,75
0,0.9109628475632472,0.7597025920435192,0.6594982120792352,0.7223316743766292,0.7594991364421416,0.2,4,123.324994,2_4_25_1000,20,289,152478,25
0,0.7521759745317844,0.3883287339983338,0.7376496384957235,0.532427904520576,0.8104490500863558,0.3,5,25.448138,3_5_75_1000,20,34,36386,75
0,0.9132658244996106,0.7795098895546941,0.6605302364781342,0.7337800723290354,0.763126079447323,0.1,5,232.808456,1_5_25_1000,20,350,325392,25
0,0.7978121719104548,0.39928463402367453,0.7660522430633928,0.542623644877332,0.8139896373056995,0.1,5,73.20625799999999,1_5_75_1000,20,102,103866,75
0,0.8757577810139872,0.5780358986855962,0.7098956759934187,0.6317544772152762,0.78860103626943,0.3,6,43.735092,3_6_50_1000,20,39,66264,50
0,0.9154671995123108,0.7699951058552011,0.6464806472043252,0.7427847719106988,0.7534542314335061,0.1,7,280.41618,1_7_25_1000,20,178,438700,25
0,0.9167372235580994,0.8425415070306634,0.6018578651366855,0.7819758619870434,0.7059585492227979,0.2,3,250.559238,2_3_0_1000,20,923,245306,0
0,0.9149930572018831,0.7823183190080332,0.655925798194004,0.7391060378178019,0.7650259067357513,0.05,5,516.2001399999999,0.05_5_25_2500,20,782,720340,25
0,0.8860703762657907,0.6290391550814938,0.7244379574899862,0.649396513170028,0.7970639032815199,0.1,6,137.076016,1_6_50_1000,20,127,206772,50
0,0.8692213905916618,0.5419789247794723,0.7208972046166205,0.6100056086943287,0.7972366148531952,0.3,3,39.876252,3_3_50_1000,20,140,40364,50
0,0.890151386866258,0.6356895279759853,0.7076184593871526,0.660338857123284,0.7937823834196891,0.1,7,182.816414,1_7_50_1000,20,111,286978,50
0,0.9200900870389813,0.8520278137550095,0.5948400334981895,0.8003254962928069,0.7008635578583765,0.05,4,894.964588,0.05_4_0_2500,20,2247,1077776,0
0,0.88078707623531,0.601039168803705,0.6919355656810968,0.641877889331817,0.7853195164075993,0.3,7,56.851042,3_7_50_1000,20,33,89534,50
0,0.7878213160835845,0.3722410225844063,0.7649027220490892,0.5348385800408745,0.8069084628670121,0.2,4,29.952693999999997,2_4_75_1000,20,66,37838,75
0,0.9178887120262811,0.8108267917934903,0.5847718692174114,0.7866478889917838,0.6905008635578583,0.3,7,117.87331,3_7_0_1000,20,82,183030,0
0,0.9112507196802926,0.7531545602220582,0.6511031781256793,0.7265035943747925,0.7520725388601036,0.3,5,76.03491199999999,3_5_25_1000,20,113,106524,25
0,0.9066616994615098,0.7574845360626201,0.6709560258830438,0.7118739061091887,0.7714162348877375,0.05,3,603.979148,0.05_3_25_2500,20,2162,603396,25
0,0.8832593897111118,0.6097365194141647,0.7131085858442134,0.6430382655977183,0.792832469775475,0.2,6,68.97564,2_6_50_1000,20,63,104220,50
0,0.8089714498594507,0.45352885829134315,0.754321567629551,0.5575493896020193,0.8177892918825561,0.2,7,62.322068,2_7_75_1000,20,35,98376,75
0,0.9141294408507468,0.7719988780150063,0.6494766617097748,0.7376002979313919,0.7604490500863558,0.1,6,251.877726,1_6_25_1000,20,244,377902,25
0,0.8054661834930741,0.43782403196736447,0.7674042075244124,0.5516974852133802,0.8202072538860103,0.1,6,96.597668,1_6_75_1000,20,85,146576,75
0,0.910200833135774,0.7269871431902999,0.644929396342034,0.7232849462120029,0.7474093264248705,0.3,6,79.55837000000001,3_6_25_1000,20,76,119570,25
0,0.8780268906424629,0.5783924900323542,0.7182312682749301,0.6346891321383448,0.7900690846286701,0.3,4,37.355778,3_4_50_1000,20,84,46866,50
0,0.9204795610796898,0.8354747156892005,0.6001659216271014,0.8000643985755446,0.7007772020725389,0.1,4,398.734792,1_4_0_1000,20,991,482124,0
0,0.8830561858637856,0.6108350780220276,0.7203373399477375,0.6412888207881804,0.794818652849741,0.1,4,120.591212,1_4_50_1000,20,276,150364,50
0,0.8765875300572358,0.5655727811813083,0.7161669970279422,0.6265445947426083,0.7947322970639032,0.2,3,63.029672000000005,2_3_50_1000,20,222,63664,50
0,0.9138246350797575,0.7843979771413313,0.6656802613255212,0.7341949081392297,0.7666666666666667,0.05,4,534.567266,0.05_4_25_2500,20,1261,659342,25
0,0.9157042706675247,0.7714358661928249,0.6542422727206831,0.7422771535228647,0.7607081174438688,0.05,6,525.864964,0.05_6_25_2500,20,513,788288,25
0,0.9178887120262811,0.8122389938648699,0.5902689113917297,0.7836846839056033,0.7029360967184801,0.3,5,116.27975,3_5_0_1000,20,188,159990,0
0,0.8799065262302299,0.5759346403827517,0.727964521032183,0.6370962465753854,0.7870466321243523,0.2,4,52.684972,2_4_50_1000,20,120,65804,50
0,0.9182104514512142,0.834612708021953,0.6010075615388012,0.7846303521254573,0.7046632124352331,0.2,5,184.375578,2_5_0_1000,20,301,253126,0
0,0.90908321197548,0.7802389415501069,0.664119978981423,0.7196217249099669,0.7719343696027634,0.1,4,243.76086800000002,1_4_25_1000,20,572,301236,25
0,0.9195990110746097,0.8209519089126444,0.6114335309728595,0.792078587341986,0.707167530224525,0.05,3,688.9407960000001,0.05_3_0_2500,20,2500,681772,0
0,0.9092525485149185,0.7490845739072272,0.6736012446737681,0.7183206427055051,0.7669257340241796,0.1,3,274.246258,1_3_25_1000,20,980,274306,25
0,0.7788634131472889,0.3653909598958663,0.7702602462827638,0.5261515853500238,0.8037996545768566,0.3,3,21.132440000000003,3_3_75_1000,20,73,21620,75
0,0.9174992379855725,0.8377428118001611,0.5986418323995412,0.7845986052307952,0.7024179620034542,0.3,3,165.031956,3_3_0_1000,20,607,161752,0
0,0.920005418769262,0.8399374234115994,0.6021067589862907,0.795460754261149,0.6984455958549223,0.3,4,126.66249400000001,3_4_0_1000,20,313,153498,0
0,0.815846513360653,0.4591960729618057,0.758467184094017,0.5616192473545661,0.8208981001727116,0.1,7,124.04521,1_7_75_1000,20,71,195550,75
