,precision,recall,f1-score,folder,model_size
accuracy,0.920225556270532,0.920225556270532,0.920225556270532,2_7_0_1000,10.952438395764482
macro avg,0.831714900927796,0.610470757754445,0.6845133755453167,2_7_0_1000,10.952438395764482
weighted avg,0.912068488380214,0.920225556270532,0.9132754330629154,2_7_0_1000,10.952438395764482
living macro avg,0.8163241117285711,0.5418729329699836,0.6334320032166462,2_7_0_1000,10.952438395764482
living weighted avg,0.7057577837369556,0.49161777032690696,0.5668704969726679,2_7_0_1000,10.952438395764482
accuracy,0.9226301351305585,0.9226301351305585,0.9226301351305585,1_6_0_1000,22.19844063540864
macro avg,0.849961442025539,0.6119469071592738,0.6918569104284152,1_6_0_1000,22.19844063540864
weighted avg,0.9148027568601383,0.9226301351305585,0.9156907705631746,1_6_0_1000,22.19844063540864
living macro avg,0.8380175667133491,0.5433421737876485,0.641873346154866,1_6_0_1000,22.19844063540864
living weighted avg,0.720961412922521,0.4991617770326907,0.5764466373531933,1_6_0_1000,22.19844063540864
accuracy,0.9235953534053578,0.9235953534053578,0.9235953534053578,0.05_5_0_2500,43.54001633838912
macro avg,0.8518671750140712,0.6155260328851749,0.6933901787631792,0.05_5_0_2500,43.54001633838912
weighted avg,0.9160164926919783,0.9235953534053578,0.9166796693445135,0.05_5_0_2500,43.54001633838912
living macro avg,0.8402082789532694,0.5485879299405141,0.6440973514656912,0.05_5_0_2500,43.54001633838912
living weighted avg,0.7292804598162813,0.5067057837384744,0.5830878718982551,0.05_5_0_2500,43.54001633838912
accuracy,0.8053815152233549,0.8053815152233549,0.8053815152233549,3_7_75_1000,2.2909240808985603
macro avg,0.43859236578354244,0.7268305886642852,0.5242165935380156,3_7_75_1000,2.2909240808985603
weighted avg,0.8951138529837445,0.8053815152233549,0.8357752540142168,3_7_75_1000,2.2909240808985603
living macro avg,0.3442695887389735,0.6884247276424491,0.4453234268910341,3_7_75_1000,2.2909240808985603
living weighted avg,0.2996927824453927,0.6804274937133278,0.41077573752116253,3_7_75_1000,2.2909240808985603
accuracy,0.8838520675991466,0.8838520675991466,0.8838520675991466,2_5_50_1000,3.2202758910412803
macro avg,0.5912532934008189,0.7223524051345772,0.6405833168475953,2_5_50_1000,3.2202758910412803
weighted avg,0.9046869886813969,0.8838520675991466,0.8911713533241334,2_5_50_1000,3.2202758910412803
living macro avg,0.5284559482270558,0.6756943342130506,0.5828291756178812,2_5_50_1000,3.2202758910412803
living weighted avg,0.457222532223093,0.6345347862531433,0.5269642949355978,2_5_50_1000,3.2202758910412803
accuracy,0.9120635350695974,0.9120635350695974,0.9120635350695974,3_7_25_1000,4.90843965472704
macro avg,0.7350668396067661,0.6278714625276919,0.663741735220027,3_7_25_1000,4.90843965472704
weighted avg,0.9090659860404556,0.9120635350695974,0.9097059987097794,3_7_25_1000,4.90843965472704
living macro avg,0.7008132319613651,0.5587534105563747,0.6078025118097282,3_7_25_1000,4.90843965472704
living weighted avg,0.6020509067554235,0.5488264878457669,0.5666302829155393,3_7_25_1000,4.90843965472704
accuracy,0.7965760151725539,0.7965760151725539,0.7965760151725539,2_5_75_1000,1.9239273143788802
macro avg,0.40074748807241356,0.7567845503017587,0.4968287936338447,2_5_75_1000,1.9239273143788802
weighted avg,0.8944953893523099,0.7965760151725539,0.8292651310359046,2_5_75_1000,1.9239273143788802
living macro avg,0.29958860018819466,0.7253286752132624,0.41256335460751853,2_5_75_1000,1.9239273143788802
living weighted avg,0.2895801227575156,0.6835708298407376,0.401548463704267,2_5_75_1000,1.9239273143788802
accuracy,0.9137907677718698,0.9137907677718698,0.9137907677718698,3_4_25_1000,3.7469177387289605
macro avg,0.763505700726592,0.6634704092607484,0.6935302497443308,3_4_25_1000,3.7469177387289605
weighted avg,0.9112640303627636,0.9137907677718698,0.9116775144822695,3_4_25_1000,3.7469177387289605
living macro avg,0.7363450410499259,0.6042199093683387,0.6454930974350148,3_4_25_1000,3.7469177387289605
living weighted avg,0.6063769403818029,0.568105616093881,0.5784133525925585,3_4_25_1000,3.7469177387289605
accuracy,0.7973380296000271,0.7973380296000271,0.7973380296000271,3_6_75_1000,1.7032852237036802
