,accuracy,precision_macro,recall_macro,living_precision_w,living_recall_w,learning_rate,max_depth,n_detritus,loading_time,folder_name,n_class,n_trees,n_nodes
0,0.8075438423989063,0.6192459252384213,0.6800500292790983,0.5844017637444269,0.6361709520500347,5,5,1,116.430069,5_5_1_1000,11,258,169095
0,0.8082860468730672,0.6208931489278834,0.6848160351523925,0.5859811594823258,0.6351285615010424,3,3,1,159.673973,3_3_1_1000,11,1000,163661
0,0.8089394405554481,0.6274311726690149,0.6829409955571042,0.5902795450667516,0.6410006949270327,4,5,1,159.617875,4_5_1_1000,11,353,231892
0,0.5120132454952312,0.535555560836812,0.5541376511796522,0.5837850142939032,0.5742876997915219,2,3,3,94.53083699999999,2_3_3_500,13,500,97009
0,0.5164601287122118,0.5428960374738213,0.5752557342467631,0.5970054094647008,0.6215774843641417,5,3,3,187.549743,5_3_3_1000,13,993,192342
0,0.43691737741731873,0.5190101388048697,0.49436867609234453,0.6074891940125126,0.6140027797081307,3,5,5,306.149017,3_5_5_500,15,500,444269
0,0.4346812485528599,0.5123734426923868,0.4893098839722754,0.6001267092761222,0.588498957609451,1,5,5,307.103747,1_5_5_500,15,500,445879
0,0.4359594895916924,0.5134373826890507,0.49360619857972227,0.6012760178791201,0.6117790132036136,4,5,5,214.817079,4_5_5_1000,15,350,311853
0,0.5165013622941096,0.5493356192465755,0.5736582791487395,0.6038036085220475,0.6143154968728284,2,5,3,266.586229,2_5_3_500,13,500,387153
0,0.26228047082406897,0.35391011099235303,0.3117737027365473,0.5565260308694803,0.5382904794996526,2,3,10,289.271179,2_3_10_1000,20,1000,295803
0,0.8114134554693174,0.6392773403351141,0.6881196490911161,0.601247726183887,0.6472897845726199,2,5,1,382.847649,2_5_1_1000,11,849,555954
0,0.5160414492652493,0.5446095938053156,0.5717811804706142,0.594990212643449,0.6155316191799861,5,5,3,149.865351,5_5_3_1000,13,281,217654
0,0.5171420687205219,0.5547122749130918,0.5739968385224683,0.6076228717754084,0.6205350938151494,3,5,3,266.522185,3_5_3_500,13,500,387045
0,0.810477770341636,0.6397071897272296,0.6792351512121203,0.5990773994506761,0.6350938151494093,1,7,1,711.403631,1_7_1_500,11,500,1146867
0,0.4323023880587547,0.5030036366172695,0.47859841738962383,0.586111121580649,0.5686587908269631,1,3,5,217.942953,1_3_5_1000,15,1000,223521
0,0.517256254024239,0.5552336482559441,0.5741358378495487,0.6085250939447948,0.6220639332870048,3,5,3,295.274049,3_5_3_1000,13,554,428791
0,0.26202355389070564,0.3533575414156086,0.3102928706545875,0.5542157496302377,0.5372828353022933,3,5,10,201.180401,3_5_10_250,20,250,291257
0,0.8043625129647897,0.6086114279380564,0.6611515012894112,0.5723475191254234,0.5970813064628214,2,3,1,79.967743,2_3_1_500,11,500,82051
0,0.2619728048668314,0.3543671876648483,0.3081245725547682,0.5548894258904308,0.5396108408617095,4,5,10,201.38795100000002,4_5_10_250,20,250,291607
0,0.26235659435988035,0.3616426831199877,0.3064490600862961,0.5660321854361725,0.5429812369701181,3,7,10,488.625095,3_7_10_500,20,201,785395
0,0.4363020455028435,0.5167975026107049,0.49493543419343694,0.6060494461876975,0.6070535093815149,2,5,5,305.669873,2_5_5_500,15,500,443461
0,0.26303536255419835,0.35462028773855747,0.3131349065370744,0.5605285783619002,0.5515983321751217,4,3,10,289.816739,4_3_10_1000,20,1000,296723
0,0.43700618820909864,0.5261037770551716,0.4897537761920837,0.6150847251037665,0.6114662960389159,2,7,5,628.532963,2_7_5_1000,15,332,1012111
0,0.808983845951338,0.6347347252924644,0.6764686737765975,0.5953185508476267,0.6350590687977762,3,7,1,270.633165,3_7_1_250,11,190,436315
0,0.26339377753531024,0.3653718676855101,0.3107508842941128,0.5720485567086272,0.5474287699791522,1,7,10,1197.3704030000001,1_7_10_500,20,500,1923171
0,0.26134161388239546,0.35489141128514623,0.30821721013702164,0.5559990198685406,0.528318276580959,2,5,10,201.377277,2_5_10_250,20,250,291589
0,0.8028432140625545,0.602337156965154,0.6510678596560667,0.5649361288895721,0.5799513551077137,3,3,1,40.031015,3_3_1_250,11,250,41105
0,0.26161438988571956,0.3553838248165405,0.30915026878279744,0.5566705700667963,0.5282487838776928,1,5,10,401.218091,1_5_10_500,20,500,580587
0,0.8093549481884185,0.6231148986421856,0.6864808048025369,0.5904658065287275,0.6428769979152189,4,3,1,159.729715,4_3_1_1000,11,1000,163755
0,0.5166884993196459,0.5578111690707414,0.570036053092228,0.6094141303974167,0.6131688672689367,2,7,3,420.002981,2_7_3_250,13,250,677067
0,0.4368983465333659,0.5197747813138823,0.49553030768183504,0.6106535388048445,0.6098679638637943,1,5,5,610.685667,1_5_5_1000,15,1000,885819
0,0.8076453404466548,0.6200682744755664,0.6817024421121678,0.5845958359932076,0.6341209173036831,4,5,1,113.147915,4_5_1_250,11,250,164405
0,0.26298778534431627,0.36700316402904243,0.308598916265461,0.5738477054628071,0.5476719944405838,2,7,10,799.641073,2_7_10_1000,20,332,1284721
0,0.43378045337909205,0.507977148307494,0.48295179061484456,0.5917056827427505,0.5959694232105629,5,7,5,192.992153,5_7_5_1000,15,101,310906
0,0.8076199659347177,0.6212523047016824,0.6753074923248058,0.5856418263912042,0.6170604586518416,1,5,1,227.548839,1_5_1_500,11,500,330923
0,0.4335330518877051,0.5054846605034342,0.4856132163148048,0.5903233372884994,0.5849200833912439,3,3,5,108.880451,3_3_5_500,15,500,111607
0,0.5151057641375679,0.5495041111860448,0.5644641929791276,0.5990910091676557,0.6091730368311328,4,7,3,231.954325,4_7_3_500,13,138,373931
0,0.5151057641375679,0.5495041111860448,0.5644641929791276,0.5990910091676557,0.6091730368311328,4,7,3,231.954325,4_7_3_250,13,138,373931
0,0.5164918468521332,0.5516296585103467,0.5732312452932299,0.6029814634647341,0.6190062543432939,4,5,3,201.02062700000002,4_5_3_1000,13,377,291938
0,0.8075533578408828,0.6279060764230517,0.6717955394634885,0.5869358728246167,0.6287004864489228,4,7,1,191.763093,4_7_1_500,11,134,309227
0,0.4350967561858302,0.5134111011146063,0.48499915178340697,0.5997611694063655,0.6018763029881863,4,7,5,270.41376299999996,4_7_5_1000,15,142,435561
0,0.516307881640589,0.5454012841572982,0.5759984017331198,0.597689648127128,0.6146629603891591,3,3,3,188.797789,3_3_3_1000,13,1000,193573
