X	Y	Z	wmo
Jan	102	0.9	6904241
Feb	102	0.8	6904241
Jun	102	0.8	6904241
Jul	102	0.9	6904241
Aug	102	0.8	6904241
Sep	102	0.7	6904241
Oct	102	0.7	6904241
Nov	102	0.8	6904241
Dec	102	0.8	6904241
Jan	128	1	6904241
Feb	128	0.8	6904241
Jun	128	0.9	6904241
Jul	128	1.1	6904241
Aug	128	1	6904241
Sep	128	0.8	6904241
Oct	128	0.7	6904241
Nov	128	0.8	6904241
Dec	128	0.9	6904241
Jan	161	1	6904241
Feb	161	0.9	6904241
Jun	161	1.2	6904241
Jul	161	1.4	6904241
Aug	161	1.1	6904241
Sep	161	0.8	6904241
Oct	161	0.6	6904241
Nov	161	0.7	6904241
Dec	161	0.9	6904241
Jan	203	1	6904241
Feb	203	0.9	6904241
Jun	203	1.4	6904241
Jul	203	1.9	6904241
Aug	203	1.4	6904241
Sep	203	0.9	6904241
Oct	203	0.6	6904241
Nov	203	0.7	6904241
Dec	203	0.8	6904241
Jan	256	1	6904241
Feb	256	0.8	6904241
Jun	256	1.4	6904241
Jul	256	2.2	6904241
Aug	256	1.5	6904241
Sep	256	0.9	6904241
Oct	256	0.5	6904241
Nov	256	0.6	6904241
Dec	256	0.7	6904241
Jan	323	1.2	6904241
Feb	323	0.8	6904241
Jun	323	1.2	6904241
Jul	323	2.9	6904241
Aug	323	1.7	6904241
Sep	323	0.9	6904241
Oct	323	0.5	6904241
Nov	323	0.5	6904241
Dec	323	0.7	6904241
Jan	406	1.7	6904241
Feb	406	1.4	6904241
Jun	406	1	6904241
Jul	406	3.2	6904241
Aug	406	1.7	6904241
Sep	406	0.7	6904241
Oct	406	0.6	6904241
Nov	406	0.5	6904241
Dec	406	0.8	6904241
Jan	512	2	6904241
Feb	512	1.4	6904241
Jun	512	0.6	6904241
Jul	512	3	6904241
Aug	512	1.5	6904241
Sep	512	0.7	6904241
Oct	512	0.7	6904241
Nov	512	0.5	6904241
Dec	512	1.2	6904241
Jan	645	0.7	6904241
Feb	645	0.7	6904241
Jun	645	0.6	6904241
Jul	645	2.3	6904241
Aug	645	1.1	6904241
Sep	645	0.5	6904241
Oct	645	1.1	6904241
Nov	645	0.5	6904241
Dec	645	1.1	6904241
Jan	813	0.5	6904241
Feb	813	0.8	6904241
Jun	813	0.6	6904241
Jul	813	1.3	6904241
Aug	813	0.9	6904241
Sep	813	0.4	6904241
Oct	813	1.5	6904241
Nov	813	0.4	6904241
Dec	813	1.1	6904241
Jan	1020	0.6	6904241
Feb	1020	0.5	6904241
Jun	1020	0.3	6904241
Jul	1020	1	6904241
Aug	1020	0.9	6904241
Sep	1020	0.6	6904241
Oct	1020	0.8	6904241
Nov	1020	0.8	6904241
Dec	1020	0.9	6904241
Jan	1290	0.6	6904241
Feb	1290	0.4	6904241
Jun	1290	0.3	6904241
Jul	1290	0.9	6904241
Aug	1290	0.7	6904241
Sep	1290	0.7	6904241
Oct	1290	0.1	6904241
Nov	1290	0.3	6904241
Dec	1290	0.7	6904241
Jan	102	0.6	1902578
Feb	102	0.4	1902578
Jun	102	0.7	1902578
Jul	102	0.9	1902578
Aug	102	0.8	1902578
Sep	102	0.9	1902578
Oct	102	0.9	1902578
Nov	102	0.6	1902578
Dec	102	0.4	1902578
Jan	128	0.6	1902578
Feb	128	0.4	1902578
Jun	128	0.8	1902578
Jul	128	1	1902578
Aug	128	0.9	1902578
Sep	128	0.9	1902578
Oct	128	0.8	1902578
Nov	128	0.6	1902578
Dec	128	0.4	1902578
Jan	161	0.6	1902578
Feb	161	0.4	1902578
Jun	161	1	1902578
Jul	161	1.4	1902578
Aug	161	1.1	1902578
Sep	161	0.9	1902578
Oct	161	0.7	1902578
Nov	161	0.6	1902578
Dec	161	0.4	1902578
Jan	203	0.6	1902578
Feb	203	0.4	1902578
Jun	203	1.2	1902578
Jul	203	1.8	1902578
Aug	203	1.3	1902578
Sep	203	0.8	1902578
Oct	203	0.6	1902578
Nov	203	0.5	1902578
Dec	203	0.4	1902578
Jan	256	0.5	1902578
Feb	256	0.4	1902578
Jun	256	1.3	1902578
Jul	256	2.2	1902578
Aug	256	1.3	1902578
Sep	256	0.9	1902578
Oct	256	0.5	1902578
Nov	256	0.4	1902578
Dec	256	0.3	1902578
Jan	323	0.7	1902578
Feb	323	0.6	1902578
Jun	323	1.4	1902578
Jul	323	2.8	1902578
Aug	323	1.3	1902578
Sep	323	1	1902578
Oct	323	0.5	1902578
Nov	323	0.4	1902578
Dec	323	0.3	1902578
Jan	406	1.1	1902578
Feb	406	1.4	1902578
Jun	406	1.1	1902578
Jul	406	2.9	1902578
Aug	406	1.5	1902578
Sep	406	0.9	1902578
Oct	406	0.6	1902578
Nov	406	0.4	1902578
Dec	406	0.3	1902578
Jan	512	1.4	1902578
Feb	512	1.9	1902578
Jun	512	0.6	1902578
Jul	512	2.7	1902578
Aug	512	1.2	1902578
Sep	512	1	1902578
Oct	512	0.8	1902578
Nov	512	0.4	1902578
Dec	512	0.4	1902578
Jan	645	1.3	1902578
Feb	645	4.8	1902578
Jun	645	0.4	1902578
Jul	645	2.5	1902578
Aug	645	0.9	1902578
Sep	645	0.9	1902578
Oct	645	0.8	1902578
Nov	645	0.6	1902578
Dec	645	0.7	1902578
Jan	813	1.5	1902578
Feb	813	1.5	1902578
Jun	813	0.4	1902578
Jul	813	2.6	1902578
Aug	813	1.3	1902578
Sep	813	1	1902578
Oct	813	0.8	1902578
Nov	813	1	1902578
Dec	813	0.9	1902578
Jan	1020	1.3	1902578
Feb	1020	0.5	1902578
Jun	1020	0.3	1902578
Jul	1020	2.1	1902578
Aug	1020	0.7	1902578
Sep	1020	0.8	1902578
Oct	1020	0.6	1902578
Nov	1020	0.7	1902578
Dec	1020	1.1	1902578
Jan	1290	0.9	1902578
Feb	1290	0.6	1902578
Jun	1290	0.1	1902578
Jul	1290	1.4	1902578
Aug	1290	0.8	1902578
Sep	1290	0.8	1902578
Oct	1290	0.5	1902578
Nov	1290	0.7	1902578
Dec	1290	0.9	1902578
Jan	102	0.7	4903634
Feb	102	0.8	4903634
May	102	0.7	4903634
Jun	102	0.7	4903634
Jul	102	0.9	4903634
Aug	102	1	4903634
Sep	102	0.7	4903634
Oct	102	0.7	4903634
Nov	102	0.6	4903634
Dec	102	0.7	4903634
Jan	128	0.7	4903634
Feb	128	0.8	4903634
May	128	0.7	4903634
Jun	128	0.8	4903634
Jul	128	0.9	4903634
Aug	128	1	4903634
Sep	128	0.7	4903634
Oct	128	0.7	4903634
Nov	128	0.5	4903634
Dec	128	0.7	4903634
Jan	161	0.9	4903634
Feb	161	0.9	4903634
May	161	0.7	4903634
Jun	161	1.1	4903634
Jul	161	1	4903634
Aug	161	1	4903634
Sep	161	0.6	4903634
Oct	161	0.6	4903634
Nov	161	0.5	4903634
Dec	161	0.7	4903634
Jan	203	0.9	4903634
Feb	203	0.8	4903634
May	203	0.7	4903634
Jun	203	1.6	4903634
Jul	203	1	4903634
Aug	203	1	4903634
Sep	203	0.5	4903634
Oct	203	0.6	4903634
Nov	203	0.5	4903634
Dec	203	0.7	4903634
Jan	256	0.9	4903634
Feb	256	0.9	4903634
May	256	0.6	4903634
Jun	256	1.9	4903634
Jul	256	1	4903634
Aug	256	0.9	4903634
Sep	256	0.5	4903634
Oct	256	0.6	4903634
Nov	256	0.5	4903634
Dec	256	0.7	4903634
Jan	323	0.7	4903634
Feb	323	0.7	4903634
May	323	0.6	4903634
Jun	323	1.9	4903634
Jul	323	0.9	4903634
Aug	323	0.9	4903634
Sep	323	0.4	4903634
Oct	323	0.6	4903634
Nov	323	0.4	4903634
Dec	323	0.7	4903634
Jan	406	0.8	4903634
Feb	406	1	4903634
May	406	0.4	4903634
Jun	406	1.3	4903634
Jul	406	0.7	4903634
Aug	406	0.8	4903634
Sep	406	0.4	4903634
Oct	406	0.7	4903634
Nov	406	0.7	4903634
Dec	406	0.7	4903634
Jan	512	1	4903634
Feb	512	1.2	4903634
May	512	0.4	4903634
Jun	512	0.9	4903634
Jul	512	0.5	4903634
Aug	512	0.8	4903634
Sep	512	0.3	4903634
Oct	512	0.6	4903634
Nov	512	1.1	4903634
Dec	512	0.9	4903634
Jan	645	0.9	4903634
Feb	645	1.1	4903634
May	645	0.3	4903634
Jun	645	0.6	4903634
Jul	645	0.3	4903634
Aug	645	0.6	4903634
Sep	645	0.4	4903634
Oct	645	0.6	4903634
Nov	645	0.9	4903634
Dec	645	0.7	4903634
Jan	813	1.1	4903634
Feb	813	1	4903634
May	813	0.2	4903634
Jun	813	0.6	4903634
Jul	813	0.3	4903634
Aug	813	0.5	4903634
Sep	813	0.4	4903634
Oct	813	0.5	4903634
Nov	813	1.5	4903634
Dec	813	0.4	4903634
Jan	1020	1.1	4903634
Feb	1020	0.5	4903634
May	1020	0.4	4903634
Jun	1020	0.7	4903634
Jul	1020	0.3	4903634
Aug	1020	0.6	4903634
Sep	1020	0.5	4903634
Oct	1020	0.9	4903634
Nov	1020	1.2	4903634
Dec	1020	0.4	4903634
